id,store_id,crawl_store_id,"fw_type","smservername"
208,105634,16,"OLD_FW",NULL
209,105634,159,"OLD_FW",NULL
210,572190,16,"OLD_FW",NULL
211,560029,33,"OLD_FW",NULL
212,605633,14,"OLD_FW",NULL
213,605633,16,"OLD_FW",NULL
214,605633,12,"OLD_FW",NULL
215,606371,34,"OLD_FW",NULL
216,560029,35,"OLD_FW",NULL
217,594565,16,"OLD_FW",NULL
218,594564,16,"OLD_FW",NULL
229,594565,16,"OLD_FW",NULL
230,594564,16,"OLD_FW",NULL
231,594563,16,"OLD_FW",NULL
232,568045,16,"OLD_FW",NULL
233,567711,16,"OLD_FW",NULL
234,567710,16,"OLD_FW",NULL
235,567709,16,"OLD_FW",NULL
236,567708,16,"OLD_FW",NULL
237,567707,16,"OLD_FW",NULL
238,567706,16,"OLD_FW",NULL
239,567704,16,"OLD_FW",NULL
240,567703,16,"OLD_FW",NULL
241,239023,24,"OLD_FW",NULL
244,239026,24,"OLD_FW",NULL
245,239027,24,"OLD_FW",NULL
247,239029,24,"OLD_FW",NULL
252,245127,24,"OLD_FW",NULL
255,245130,24,"OLD_FW",NULL
256,245131,24,"OLD_FW",NULL
257,245132,24,"OLD_FW",NULL
259,245134,24,"OLD_FW",NULL
260,245135,24,"OLD_FW",NULL
261,251724,24,"OLD_FW",NULL
262,251725,24,"OLD_FW",NULL
263,288406,24,"OLD_FW",NULL
265,313375,24,"OLD_FW",NULL
266,423705,24,"OLD_FW",NULL
267,449614,24,"OLD_FW",NULL
276,594565,24,"OLD_FW",NULL
277,594564,24,"OLD_FW",NULL
278,594563,24,"OLD_FW",NULL
279,141328,16,"OLD_FW",NULL
280,141986,16,"OLD_FW",NULL
283,560029,36,"OLD_FW",NULL
284,560029,37,"OLD_FW",NULL
285,560029,38,"OLD_FW",NULL
286,611471,33,"OLD_FW",NULL
287,611471,35,"OLD_FW",NULL
288,611471,36,"OLD_FW",NULL
289,611471,37,"OLD_FW",NULL
290,611471,38,"OLD_FW",NULL
291,657891,41,"OLD_FW",NULL
293,18,605414,"OLD_FW",NULL
294,404437,40,"OLD_FW",NULL
295,404437,12,"OLD_FW",NULL
296,404437,16,"OLD_FW",NULL
298,485091,20,"OLD_FW",NULL
302,496822,20,"OLD_FW",NULL
313,626496,42,"OLD_FW",NULL
314,626496,42,"OLD_FW",NULL
315,626496,28,"OLD_FW",NULL
318,560029,43,"OLD_FW",NULL
320,727203,44,"OLD_FW",NULL
321,728707,32,"OLD_FW",NULL
322,645537,16,"OLD_FW",NULL
323,645538,16,"OLD_FW",NULL
325,594563,32,"OLD_FW",NULL
326,594563,12,"OLD_FW",NULL
327,567708,32,"OLD_FW",NULL
328,643819,16,"OLD_FW",NULL
329,643819,12,"OLD_FW",NULL
330,643819,32,"OLD_FW",NULL
331,643819,24,"OLD_FW",NULL
332,643819,-27,"OLD_FW",NULL
334,567703,32,"OLD_FW",NULL
338,567704,32,"OLD_FW",NULL
340,567706,32,"OLD_FW",NULL
342,567707,32,"OLD_FW",NULL
346,567709,32,"OLD_FW",NULL
347,567709,12,"OLD_FW",NULL
349,567710,32,"OLD_FW",NULL
351,567711,32,"OLD_FW",NULL
354,547476,16,"OLD_FW",NULL
355,547476,12,"OLD_FW",NULL
356,547476,32,"OLD_FW",NULL
357,547476,24,"OLD_FW",NULL
358,547476,-27,"OLD_FW",NULL
360,568045,24,"OLD_FW",NULL
361,568045,32,"OLD_FW",NULL
363,568045,151,"OLD_FW",NULL
364,423705,12,"OLD_FW",NULL
365,423705,32,"OLD_FW",NULL
366,313372,12,"OLD_FW",NULL
367,313372,32,"OLD_FW",NULL
368,288406,12,"OLD_FW",NULL
369,288406,32,"OLD_FW",NULL
370,251725,32,"OLD_FW",NULL
372,251725,12,"OLD_FW",NULL
373,245134,32,"OLD_FW",NULL
374,245134,12,"OLD_FW",NULL
375,245133,32,"OLD_FW",NULL
376,245133,12,"OLD_FW",NULL
377,245132,12,"OLD_FW",NULL
378,245132,32,"OLD_FW",NULL
379,245131,32,"OLD_FW",NULL
380,245131,12,"OLD_FW",NULL
381,643827,24,"OLD_FW",NULL
382,643827,-27,"OLD_FW",NULL
383,643827,32,"OLD_FW",NULL
384,643827,12,"OLD_FW",NULL
385,643827,16,"OLD_FW",NULL
386,650223,12,"OLD_FW",NULL
387,650223,16,"OLD_FW",NULL
388,650223,32,"OLD_FW",NULL
389,650223,-27,"OLD_FW",NULL
390,650223,24,"OLD_FW",NULL
391,245129,32,"OLD_FW",NULL
392,245129,12,"OLD_FW",NULL
393,245128,32,"OLD_FW",NULL
394,245128,12,"OLD_FW",NULL
395,245127,12,"OLD_FW",NULL
396,245127,32,"OLD_FW",NULL
397,245126,32,"OLD_FW",NULL
398,245126,12,"OLD_FW",NULL
399,240898,12,"OLD_FW",NULL
400,239032,32,"OLD_FW",NULL
401,239032,12,"OLD_FW",NULL
402,239030,12,"OLD_FW",NULL
403,239030,32,"OLD_FW",NULL
404,239028,32,"OLD_FW",NULL
405,239028,12,"OLD_FW",NULL
406,239025,12,"OLD_FW",NULL
407,239025,32,"OLD_FW",NULL
408,239024,12,"OLD_FW",NULL
409,239024,32,"OLD_FW",NULL
410,213074,32,"OLD_FW",NULL
411,213074,12,"OLD_FW",NULL
412,294229,12,"OLD_FW",NULL
413,294229,16,"OLD_FW",NULL
414,294229,32,"OLD_FW",NULL
415,294229,24,"OLD_FW",NULL
416,294229,-27,"OLD_FW",NULL
417,213073,-27,"OLD_FW",NULL
418,213073,32,"OLD_FW",NULL
419,213073,12,"OLD_FW",NULL
420,213073,16,"OLD_FW",NULL
421,650863,12,"OLD_FW",NULL
422,650863,16,"OLD_FW",NULL
423,650863,24,"OLD_FW",NULL
424,650863,-27,"OLD_FW",NULL
425,650863,32,"OLD_FW",NULL
426,172044,32,"OLD_FW",NULL
427,172044,12,"OLD_FW",NULL
428,172044,16,"OLD_FW",NULL
429,172044,-27,"OLD_FW",NULL
430,173836,32,"OLD_FW",NULL
431,173836,12,"OLD_FW",NULL
432,173836,16,"OLD_FW",NULL
433,173836,-27,"OLD_FW",NULL
434,182953,32,"OLD_FW",NULL
435,182953,12,"OLD_FW",NULL
436,182953,16,"OLD_FW",NULL
437,182953,-27,"OLD_FW",NULL
438,163286,12,"OLD_FW",NULL
439,163286,16,"OLD_FW",NULL
440,163286,24,"OLD_FW",NULL
441,163286,-27,"OLD_FW",NULL
442,163286,32,"OLD_FW",NULL
443,760254,46,"OLD_FW",NULL
444,760254,47,"OLD_FW",NULL
445,756787,49,"OLD_FW",NULL
446,756787,48,"OLD_FW",NULL
447,756888,50,"OLD_FW",NULL
448,663175,51,"OLD_FW",NULL
449,663175,52,"OLD_FW",NULL
451,794141,46,"OLD_FW",NULL
452,614447,52,"OLD_FW",NULL
453,614447,51,"OLD_FW",NULL
454,809624,54,"OLD_FW",NULL
455,809624,55,"OLD_FW",NULL
456,809624,56,"OLD_FW",NULL
457,728707,32,"OLD_FW",NULL
458,809624,34,"OLD_FW",NULL
459,809624,57,"OLD_FW",NULL
461,760295,58,"OLD_FW",NULL
462,600895,59,"OLD_FW",NULL
463,600895,61,"OLD_FW",NULL
464,600895,60,"OLD_FW",NULL
467,842282,159,"OLD_FW",NULL
468,756787,63,"OLD_FW",NULL
469,760295,61,"OLD_FW",NULL
470,624458,59,"OLD_FW",NULL
471,460892,60,"OLD_FW",NULL
472,794141,61,"OLD_FW",NULL
474,857507,63,"OLD_FW",NULL
475,749606,16,"OLD_FW",NULL
476,841550,61,"OLD_FW",NULL
477,841550,46,"OLD_FW",NULL
478,866977,67,"OLD_FW",NULL
479,866977,66,"OLD_FW",NULL
480,866977,65,"OLD_FW",NULL
481,866977,64,"OLD_FW",NULL
482,599213,16,"OLD_FW",NULL
483,460892,60,"OLD_FW",NULL
486,856476,16,"OLD_FW",NULL
487,783737,69,"OLD_FW",NULL
488,783737,287,"OLD_FW",NULL
489,783737,71,"OLD_FW",NULL
490,699194,69,"OLD_FW",NULL
491,699194,287,"OLD_FW",NULL
492,699194,71,"OLD_FW",NULL
493,594563,69,"OLD_FW",NULL
494,594563,287,"OLD_FW",NULL
495,594563,71,"OLD_FW",NULL
496,594564,69,"OLD_FW",NULL
497,594564,287,"OLD_FW",NULL
498,594564,71,"OLD_FW",NULL
499,594565,69,"OLD_FW",NULL
500,594565,287,"OLD_FW",NULL
501,594565,71,"OLD_FW",NULL
502,643819,69,"OLD_FW",NULL
503,643819,287,"OLD_FW",NULL
504,643819,71,"OLD_FW",NULL
505,563610,69,"OLD_FW",NULL
506,563610,287,"OLD_FW",NULL
507,563610,71,"OLD_FW",NULL
508,567703,69,"OLD_FW",NULL
509,567703,287,"OLD_FW",NULL
510,567703,71,"OLD_FW",NULL
511,567704,69,"OLD_FW",NULL
512,567704,287,"OLD_FW",NULL
513,567704,71,"OLD_FW",NULL
514,567706,69,"OLD_FW",NULL
516,567706,71,"OLD_FW",NULL
517,567707,69,"OLD_FW",NULL
518,567707,287,"OLD_FW",NULL
519,567707,71,"OLD_FW",NULL
520,567708,69,"OLD_FW",NULL
521,567708,287,"OLD_FW",NULL
522,567708,71,"OLD_FW",NULL
523,567709,69,"OLD_FW",NULL
524,567709,287,"OLD_FW",NULL
525,567709,71,"OLD_FW",NULL
526,567710,69,"OLD_FW",NULL
527,567710,287,"OLD_FW",NULL
528,567710,71,"OLD_FW",NULL
529,567711,69,"OLD_FW",NULL
530,567711,287,"OLD_FW",NULL
531,567711,71,"OLD_FW",NULL
532,568045,69,"OLD_FW",NULL
533,568045,287,"OLD_FW",NULL
534,568045,71,"OLD_FW",NULL
535,449614,69,"OLD_FW",NULL
536,449614,287,"OLD_FW",NULL
537,449614,71,"OLD_FW",NULL
538,423705,69,"OLD_FW",NULL
539,423705,287,"OLD_FW",NULL
540,423705,71,"OLD_FW",NULL
541,313379,69,"OLD_FW",NULL
542,313379,287,"OLD_FW",NULL
543,313379,71,"OLD_FW",NULL
544,313372,69,"OLD_FW",NULL
545,313372,287,"OLD_FW",NULL
546,313372,71,"OLD_FW",NULL
547,288406,69,"OLD_FW",NULL
548,288406,287,"OLD_FW",NULL
549,288406,71,"OLD_FW",NULL
550,251725,69,"OLD_FW",NULL
551,251725,287,"OLD_FW",NULL
552,251725,71,"OLD_FW",NULL
553,245135,69,"OLD_FW",NULL
554,245135,287,"OLD_FW",NULL
555,245135,71,"OLD_FW",NULL
556,245134,69,"OLD_FW",NULL
557,245134,287,"OLD_FW",NULL
558,245134,71,"OLD_FW",NULL
559,245133,69,"OLD_FW",NULL
560,245133,287,"OLD_FW",NULL
