id,"name","criteria","health","comments"
159,"rakuten.com_noio",NULL,NULL,NULL
160,"hemgallerian.se",NULL,NULL,NULL
161,"badshop.se",NULL,NULL,NULL
162,"nordstrom.com",NULL,NULL,NULL
163,"everten.com.au",NULL,NULL,NULL
164,"victoriasbasement.com.au",NULL,NULL,NULL
165,"luckyvitamin.com",NULL,NULL,NULL
166,"homedepotcomjs",NULL,NULL,NULL
167,"studiocare.com",NULL,NULL,NULL
168,"futureshop.ca",NULL,NULL,NULL
169,"performancebike.com",NULL,NULL,NULL
170,"sxpro.co.uk",NULL,NULL,NULL
171,"amazon.com.br",NULL,NULL,NULL
172,"officedepot.com",NULL,NULL,NULL
173,"shoetique.co.uk",NULL,NULL,NULL
174,"traveluniverse.com.au",NULL,NULL,NULL
175,"homesnthings.com.au",NULL,NULL,NULL
178,"shopnaturally.com.au",NULL,NULL,NULL
179,"mengtor.com",NULL,NULL,NULL
180,"staples.com.au",NULL,NULL,NULL
181,"petflow.com",NULL,NULL,NULL
182,"kitchenwaresuperstore.com.au",NULL,NULL,NULL
183,"appliancesonline.com.au",NULL,NULL,NULL
184,"homewaresdirect.com.au",NULL,NULL,NULL
185,"elektra.com.mx",NULL,NULL,NULL
186,"basspro.com",NULL,NULL,NULL
187,"kitchenstyle.com.au",NULL,NULL,NULL
188,"kitchenwarehouse.com.au",NULL,NULL,NULL
189,"zanui.com.au",NULL,NULL,NULL
190,"gearzone.com.au",NULL,NULL,NULL
191,"harveynorman.com.au",NULL,NULL,NULL
192,"chewy.com",NULL,NULL,NULL
193,"linio.com.mx",NULL,NULL,NULL
194,"aniks.ca",NULL,NULL,NULL
195,"teletime.ca",NULL,NULL,NULL
196,"thebrick.com",NULL,NULL,NULL
197,"horchow.com",NULL,NULL,NULL
198,"cabelas.com",NULL,NULL,NULL
199,"sears.ca",NULL,NULL,NULL
200,"drsfostersmith.com",NULL,NULL,NULL
201,"orderkeystone.com",NULL,NULL,NULL
202,"shopsprint.com",NULL,NULL,NULL
203,"shop.ca",NULL,NULL,NULL
205,"sams.com.mx",NULL,NULL,NULL
206,"walmart.com_u3607",NULL,NULL,NULL
207,"homedepot.ca",NULL,NULL,NULL
208,"uae.souq.com",NULL,NULL,NULL
209,"pushys.com.au",NULL,NULL,NULL
210,"chainreactioncycles.com",NULL,NULL,NULL
211,"uae.jadopado.com",NULL,NULL,NULL
212,"t-mobile.com",NULL,NULL,NULL
213,"otterbox.com",NULL,NULL,NULL
214,"walmart.com_u4305",NULL,NULL,"Special scraper for ticket #60"
215,"idwholesaler.com",NULL,NULL,NULL
216,"lesliespool.com",NULL,NULL,NULL
217,"kiefer.com",NULL,NULL,NULL
218,"thelifeguardstore.com",NULL,NULL,NULL
219,"gsaadvantage.gov",NULL,NULL,NULL
220,"vitacostcomnoio",NULL,NULL,NULL
221,"bedbathandbeyondcom",NULL,NULL,NULL
222,"swimoutlet.com","","0000-00-00",""
223,"lowes.ca","","0000-00-00",""
224,"braultetmartineau.com","","0000-00-00",""
225,"canac.ca","","0000-00-00",""
227,"swim2000.com",NULL,NULL,NULL
228,"homedepot.ca.mobile",NULL,NULL,NULL
229,"walmert.ca.notax",NULL,NULL,NULL
